filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
NNL_1001-0610_run-001_DTIRL_000,4.0,0.02629265925,5.136345674999999,4.032199825,28.557618260383606,0.7997395384125203,-0.4427755310398781,0.0254902755,0.7431640625,1043650.40625,1.5,1.5,1.5,-108.2119140625,94.0374755859375,-84.06840515136719,112.75,132.5,97.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.279322,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0018359749458704802,0.0
NNL_1001-0611_run-001_DTILR_000,4.0,0.038291298125,5.7326466,4.601112725,30.346471071243286,0.8585669037090131,-0.4400552190694529,0.02860645,0.755859375,1353128.625,1.5,1.5,1.5,-105.177978515625,88.30859375,-77.25,134.75,136.0,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.296888,1700.0,10.352,3000.0,1.000000478667885,0.017390803761123313,0.009691672736346699,0.0
NNL_1001-0611_run-001_DTIRL_000,4.0,0.027163493500000004,5.297546325,4.1840739750000004,30.84382653236389,0.8497103388852102,-0.4132953048491972,0.02669974925,0.77001953125,1197542.8125,1.5,1.5,1.5,-105.177978515625,88.30859375,-77.25,125.0,135.75,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.296888,1700.0,10.352,3000.0,1.000000478667885,0.05850636891043956,0.016500748985628283,0.0
NNL_1001-0612_run-001_DTILR_000,4.0,0.031920507,5.5294991499999995,4.4097155,28.14356803894043,0.7983126597038162,-0.4421964049550945,0.027278701500000002,0.77880859375,1045687.21875,1.5,1.5,1.5,-105.0,77.8812255859375,-61.32999038696289,109.0,137.75,102.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.246381,1700.0,10.352,3000.0,1.000000478667885,0.0,0.002381601563068169,0.0
NNL_1001-0612_run-001_DTIRL_000,4.0,0.022090188,4.64663145,3.6439516249999997,28.99608075618744,0.7880434024569891,-0.4080080009580863,0.0239612435,0.78173828125,767341.6875,1.5,1.5,1.5,-105.0,77.8812255859375,-61.32999038696289,106.5,137.75,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.246381,1700.0,10.352,3000.0,1.000000478667885,0.13069331750299124,0.006139742992997361,0.0
NNL_1001-0613_run-001_DTILR_000,4.0,0.0173840225,5.057464175,4.114708075,34.70806896686554,0.8763721564069915,-0.31453802614131066,0.0161708765,0.755859375,175834.13897404075,1.5,1.5,1.5000001192092896,-107.824462890625,82.26025390625,-23.32263946533203,112.75,129.25,95.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.291523,1700.0,10.352,3000.0,1.000000478667885,0.0,0.004959264538074112,0.0
NNL_1001-0613_run-001_DTIRL_000,4.0,0.024574244000000002,5.179137825,4.1237409750000005,29.553500413894653,0.7973688891436979,-0.4029358550093476,0.02260334075,0.7255859375,808240.0017331392,1.5,1.5,1.5000001192092896,-107.824462890625,82.26025390625,-23.32263946533203,109.25,133.75,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.291523,1700.0,10.352,3000.0,1.000000478667885,0.03607877332885416,0.0031575589300270224,0.0
NNL_1001-0614_run-001_DTILR_000,4.0,0.0223803745,4.546928875,3.560497775,33.832828402519226,0.8719214715081066,-0.3220704769385914,0.017627501,0.7373046875,431476.875,1.5,1.5,1.5,-110.038818359375,82.66015625,-67.17236328125,127.5,133.75,100.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.300796,1700.0,10.352,3000.0,1.000000478667885,0.09795503137437352,0.0028834075320374555,0.0
NNL_1001-0614_run-001_DTIRL_000,4.0,0.02055767025,4.8659022499999995,3.86049005,33.414825797080994,0.8564607580649706,-0.330157129641659,0.020366031,0.7119140625,580100.0625,1.5,1.5,1.5,-110.038818359375,82.66015625,-67.17236328125,129.25,124.25,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.300796,1700.0,10.352,3000.0,1.000000478667885,0.12878486796437827,0.004857563842725166,0.0
NNL_1001-0615_run-001_DTILR_000,4.0,0.013296727,8.87368175,7.8945771250000005,35.521681904792786,0.8635390206590196,-0.2707603567414921,0.012628457875,0.7479355506299541,127804.5,1.5,1.5,1.5,-110.0064697265625,84.5013427734375,-55.221317291259766,127.25,117.0,98.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.342089,1700.0,10.352,3000.0,1.000000478667885,0.09570566008769246,0.010498421608102857,0.0
