,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
298,NNL_1001-0643_run-001_T2Flair_000,3,0.011421113,4.246192,3.4757817,21.54395341873169,0.4245027574053165,-0.4818748077274559,0.013831968,0.791015625,199652.0,1.0,1.0,1.0,103.5,94.99478149414062,-104.9713134765625,208,208,238,1,0,T2Flair,,Siemens,Prisma_fit,3,0.159518,850,,,,0.6439308823149297,0.007200203533120382,0.0
299,NNL_1001-0644_run-001_T2Flair_000,3,0.013104886,5.1982865,4.4631724,26.98536157608032,0.7247286668304923,-0.5078947396704508,0.014583036,0.70703125,381914.0,1.0,1.0,1.0,100.0744857788086,95.57449340820312,-109.8724365234375,208,223,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.14632,850,,,,0.11752589996302547,0.008857153295385754,0.0
300,NNL_1001-0645_run-001_T2Flair_000,3,0.01651783,4.3741755,3.6594706,23.6468243598938,0.6530003646220829,-0.5939558722600379,0.017377473,0.740234375,1302685.0,1.0,1.0,1.0,103.5,95.0554656982422,-135.87518310546875,208,240,233,1,0,T2Flair,,Siemens,Prisma_fit,3,0.122042,850,,,,0.0,0.005923627420621347,0.0
301,NNL_1001-0646_run-001_T2Flair_000,3,0.02438328,5.446578,4.8087854,22.73787498474121,0.7073302157255439,-0.647856952049194,0.025236275,0.7421875,2129431.0,1.0,1.0,1.0,103.5,92.80145263671876,-111.94638061523438,208,232,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.113451,850,,,,0.10579682975143319,0.20969340426945385,1.0
302,NNL_1001-0647_run-001_T2Flair_000,3,0.009313433,6.898914,6.004185,29.078638553619385,0.785859614346263,-0.4774347565421334,0.015112239,0.65234375,169699.0,1.0,1.0,1.0,103.5,86.85084533691406,-118.32203674316406,208,221,197,1,0,T2Flair,,Siemens,Prisma_fit,3,0.132811,850,,,,0.0344053822153679,0.017270445076009017,0.0
303,NNL_1001-0648_run-001_T2Flair_000,3,0.013019349,3.9294734,3.1625445,27.228918075561523,0.7749409491964756,-0.5913271075335426,0.013308827,0.791015625,626319.0,1.0,1.0,1.0,104.5757827758789,90.3937530517578,-122.69686889648438,208,204,210,1,0,T2Flair,,Siemens,Prisma_fit,3,0.100481,850,,,,0.4814824469632407,0.04349771132100991,0.0
304,NNL_1001-0649_run-001_T2Flair_000,3,0.016351223,3.9541917,3.153077,17.842304706573486,0.3495987459604753,-0.5858964386381791,0.016902229,0.728515625,924729.0,1.0,1.0,1.0,103.5,98.07022094726562,-150.2445526123047,199,232,216,1,0,T2Flair,,Siemens,Prisma_fit,3,0.11328,850,,,,0.07886009866802407,0.003849199660100124,0.0
305,NNL_1001-0650_run-001_T2Flair_000,3,0.021706667,5.000177,4.385367,15.716003179550173,0.3792762938769112,-0.6744912735615404,0.023463499,0.744140625,1882558.0,1.0,1.0,1.0,103.5,99.0,-127.0,192,224,215,1,0,T2Flair,,Siemens,Prisma_fit,3,0.102211,850,,,,0.0,0.007780149997358764,0.0
306,NNL_1001-0651_run-001_T2Flair_000,3,0.011266751,6.0512,5.2666163,25.343356132507324,0.6586221344401565,-0.5035021000329287,0.014897406,0.6953125,271257.0,1.0,1.0,1.0,97.67151641845705,96.08575439453124,-106.6002960205078,208,221,203,1,0,T2Flair,,Siemens,Prisma_fit,3,0.140009,850,,,,0.07557340094221372,0.0037698148759658734,0.0
307,NNL_1001-0652_run-001_T2Flair_000,3,0.018440712,4.828576,4.1942735,28.639237880706787,0.84012322242902,-0.5772972161740034,0.016775867,0.7421875,1289266.0,1.0,1.0,1.0,99.43220520019533,97.64407348632812,-129.7118682861328,208,229,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.121512,850,,,,0.16349076469114687,0.027079431041542496,0.0
308,NNL_1001-0654_run-001_T2Flair_000,3,0.019165585,4.44064,3.7532008,18.88206362724304,0.4456980001684903,-0.5970383465250997,0.018127492,0.76953125,1446633.0,1.0,1.0,1.0,100.74993896484376,93.4998779296875,-110.49964904785156,195,227,245,1,0,T2Flair,,Siemens,Prisma_fit,3,0.148299,850,,,,0.0,0.013919234077239722,0.0
309,NNL_1001-0655_run-001_T2Flair_000,3,0.020325977,5.6336217,5.026476,17.052494287490845,0.4216720715086964,-0.6142933369608378,0.019858079,0.78515625,1950466.0,1.0,1.0,1.0,101.46610260009766,99.0,-124.3068389892578,208,226,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.117168,850,,,,0.37326780379978736,0.005627770170396311,0.0
310,NNL_1001-0656_run-001_T2Flair_000,3,0.016439125,3.9071314,3.1759017,15.910695791244509,0.2704914484059769,-0.5683529918328154,0.015928607,0.76953125,1029756.0,1.0,1.0,1.0,107.56779479980467,101.80941772460938,-132.36032104492188,194,228,205,1,0,T2Flair,,Siemens,Prisma_fit,3,0.0997134,850,,,,0.0,0.011624305716405658,0.0
311,NNL_1001-0657_run-001_T2Flair_000,3,0.023993144,5.5819864,4.946013,16.795458793640137,0.3962704859725581,-0.6133037528256174,0.020765139,0.748046875,1903390.0,1.0,1.0,1.0,103.5,92.76432800292967,-126.22053527832033,208,227,248,1,0,T2Flair,,Siemens,Prisma_fit,3,0.109457,850,,,,0.15483452431008543,0.005505361642854364,0.0
312,NNL_1001-0658_run-001_T2Flair_000,3,0.01939482,4.6118126,3.9181654,20.523266792297363,0.5506856819206185,-0.6444800373957585,0.018155186,0.7265625,1585551.0,1.0,1.0,1.0,106.1296844482422,93.74063110351562,-146.72265625,194,240,215,1,0,T2Flair,,Siemens,Prisma_fit,3,0.100498,850,,,,0.0617354784748349,0.02708394103888596,0.0
313,NNL_1001-0659_run-001_T2Flair_000,3,0.019109778,5.0273414,4.208554,25.666017532348636,0.7910444532910057,-0.6653854444163582,0.019765183,0.736328125,1685384.0,1.0,1.0,1.0,100.87913513183594,91.2420654296875,-125.25276184082033,208,225,229,1,0,T2Flair,,Siemens,Prisma_fit,3,0.144072,850,,,,0.0003469637535946173,0.01044742354597636,0.0
314,NNL_1001-0660_run-001_T2Flair_000,3,0.01926449,4.300616,3.586008,17.57191777229309,0.423274195100059,-0.6437596591137446,0.017514944,0.75,1513288.0,1.0,1.0,1.0,102.41525268554688,94.6610107421875,-112.89830017089844,167,231,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.135432,850,,,,0.0007742165582676664,0.00906653610106707,0.0
315,NNL_1001-0661_run-001_T2Flair_000,3,0.016850589,4.3570623,3.679543,15.787841081619264,0.2926042298060826,-0.5930309413514184,0.017736966,0.763671875,1449956.0,1.0,1.0,1.0,100.52469635009766,91.19970703125,-132.75970458984375,197,240,221,1,0,T2Flair,,Siemens,Prisma_fit,3,0.1162,850,,,,0.0,0.011094796180760215,0.0
316,NNL_1001-0662_run-001_T2Flair_000,3,0.014761556,3.5914538,2.6993628,18.451040983200077,0.3500991964004068,-0.5381212098791813,0.017152816,0.755859375,478268.0,1.0,1.0,1.0,101.33889770507812,90.31364440917967,-137.8474578857422,195,221,226,1,0,T2Flair,,Siemens,Prisma_fit,3,0.105751,850,,,,0.036064952479148205,0.021277641351240204,0.0
