,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
11,NNL_1001-0296_run-001_DTIRL_000,4.0,0.02620787075,5.026924475,3.93447895,32.2138386964798,0.8624191094630664,-0.3966994089242779,0.0229902715,0.720703125,877820.625,1.5,1.5,1.5,-108.8897705078125,92.177978515625,-79.10956573486328,113.5,128.25,102.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.284827,1700.0,10.352,3000.0,1.000000478667885,0.0,0.006132944232097566,0.0
12,NNL_1001-0297_run-001_DTILR_000,4.0,0.03578609575,5.63897455,4.49229915,28.80919337272644,0.8326449226752094,-0.4585813261039048,0.02848906875,0.7568359375,1166404.21875,1.5,1.5,1.5,-107.7119140625,91.0679931640625,-42.358394622802734,110.0,138.0,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.269077,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0021189910339639824,0.0
13,NNL_1001-0297_run-001_DTIRL_000,4.0,0.022811232,4.673169125,3.6548648999999997,29.533543586730957,0.8019435757326325,-0.41219853916076227,0.0221140315,0.76123046875,796626.5625,1.5,1.5,1.5,-107.7119140625,91.0679931640625,-42.358394622802734,106.0,136.25,100.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.269077,1700.0,10.352,3000.0,1.000000478667885,0.0,0.003949430605761536,0.0
14,NNL_1001-0298_run-001_DTILR_000,4.0,0.03362005,6.03864315,4.96494015,25.146484375,0.7505987111700931,-0.5199954173241805,0.033948663000000004,0.74462890625,1330781.90625,1.5,1.5,1.5,-113.8135986328125,96.1773681640625,3.2239785194396973,118.0,133.75,100.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.378589,1700.0,10.352,3000.0,1.000000478667885,0.6388025495207523,0.0054304179606573496,0.0
15,NNL_1001-0298_run-001_DTIRL_000,4.0,0.0246447555,5.1177150000000005,4.103888275,27.32878565788269,0.7712938126771929,-0.4610340286598362,0.0279927445,0.7412109375,1088303.34375,1.5,1.5,1.5,-113.8135986328125,96.1773681640625,3.2239785194396973,115.5,133.75,99.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.378589,1700.0,10.352,3000.0,1.000000478667885,0.2075242852936413,0.005485264413337373,0.0
16,NNL_1001-0300_run-001_DTILR_000,4.0,0.03734807025,5.41722355,4.233853825,29.592559337615967,0.8336842617646663,-0.43619568377479,0.0284382215,0.7529296875,1148308.3125,1.5,1.5,1.5,-106.35595703125,87.5677490234375,-87.41949462890625,106.5,139.25,103.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.239857,1700.0,10.352,3000.0,1.000000478667885,0.0,0.005706933077312639,0.0
17,NNL_1001-0300_run-001_DTIRL_000,4.0,0.025065095750000002,5.007279575,3.8631917000000002,27.923899292945862,0.749308842162324,-0.39804701447166735,0.02456120125,0.76806640625,863325.84375,1.5,1.5,1.5,-106.35595703125,87.5677490234375,-87.41949462890625,102.5,133.25,101.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.239857,1700.0,10.352,3000.0,1.000000478667885,0.0,0.004370570364988486,0.0
18,NNL_1001-0301_run-001_DTILR_000,4.0,0.03384750575,5.48032615,4.2598084499999995,28.30856204032898,0.815997161564364,-0.45226116763064744,0.030374428999999998,0.771484375,1221490.96875,1.5,1.5,1.5,-108.3897705078125,92.85791015625,-82.95085144042969,108.25,132.0,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.315555,1700.0,10.352,3000.0,1.000000478667885,0.01781124161496508,0.00885276285814434,0.0
19,NNL_1001-0301_run-001_DTIRL_000,4.0,0.02503212825,4.7463403500000005,3.5815568,27.06925332546234,0.7493936284156013,-0.4026738639364594,0.025704031750000002,0.7744140625,974524.5,1.5,1.5,1.5,-108.3897705078125,92.85791015625,-82.95085144042969,100.75,131.0,103.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.315555,1700.0,10.352,3000.0,1.000000478667885,0.004249229527526089,0.005297887755137821,0.0
20,NNL_1001-0302_run-001_DTILR_000,4.0,0.02993997575,5.158655925,4.0789579499999995,27.527841925621033,0.7376276290027924,-0.4350298484540206,0.024674617,0.76025390625,1030990.78125,1.5,1.5,1.5,-107.9088134765625,88.2333984375,-28.22512435913086,115.5,134.75,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.304725,1700.0,10.352,3000.0,1.000000478667885,0.0,0.004566353315277291,0.0
21,NNL_1001-0302_run-001_DTIRL_000,4.0,0.02209485025,4.6816034,3.65375065,29.150627851486206,0.774653318847061,-0.3956205017257475,0.02374485925,0.76953125,760144.5,1.5,1.5,1.5,-107.9088134765625,88.2333984375,-28.22512435913086,116.0,131.75,102.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.304725,1700.0,10.352,3000.0,1.000000478667885,0.0053684000967035815,0.008543369003372747,0.0
22,NNL_1001-0307_run-001_DTILR_000,4.0,0.03111305075,5.48031255,4.386478275,29.865885972976685,0.8390205699790672,-0.44857301399699934,0.02639007975,0.744140625,1097973.475240901,1.5,1.5,1.4999998807907104,-108.1240234375,91.7647705078125,-19.148948669433597,112.0,137.5,101.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.359831,1700.0,10.352,3000.0,1.000000478667885,0.0,0.004603268744204821,0.0
23,NNL_1001-0307_run-001_DTIRL_000,4.0,0.027488379,5.56227435,4.4836301,28.330076336860657,0.8163712330193638,-0.4639129910719936,0.027136758,0.7548828125,1105460.912145853,1.5,1.5,1.4999998807907104,-108.1240234375,91.7647705078125,-19.148948669433597,112.0,135.0,103.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.359831,1700.0,10.352,3000.0,1.000000478667885,0.07383283851870891,0.005048920452508687,0.0
24,NNL_1001-0308_run-001_DTILR_000,4.0,0.01568154875,6.270023625,5.331255575,35.48023462295532,0.8915265863934276,-0.31001555745198545,0.017613185,0.7461987843118527,191727.0,1.5,1.5,1.5,-105.0,87.32080078125,-39.255950927734375,125.0,134.5,96.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.427701,1700.0,10.352,3000.0,1.000000478667885,0.20334859736081345,0.003018916268380064,0.0
25,NNL_1001-0308_run-001_DTIRL_000,4.0,0.0093922567,12.5530385,11.5984145,38.07108700275421,0.9169855816204102,-0.23296474943966644,0.013550926,0.6826600266053391,189410.0625,1.5,1.5,1.5,-105.0,87.32080078125,-39.255950927734375,117.25,119.0,80.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.427701,1700.0,10.352,3000.0,1.000000478667885,0.1506529641990251,0.0035055405395941256,0.0
26,NNL_1001-0309_run-001_DTILR_000,4.0,0.0173504565,4.7475971,3.7616486,29.84195351600647,0.7345918824759956,-0.3326439769009139,0.016610143,0.75244140625,154531.96875,1.5,1.5,1.5,-105.5,95.2772216796875,-73.53086853027344,115.75,117.5,93.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.328442,1700.0,10.352,3000.0,1.000000478667885,0.012406944986888043,0.006904107614468971,0.0
27,NNL_1001-0309_run-001_DTIRL_000,4.0,0.01601158625,5.0079072,4.08293515,32.04937160015106,0.7878721947921596,-0.312369230781168,0.01503329775,0.77587890625,166864.21875,1.5,1.5,1.5,-105.5,95.2772216796875,-73.53086853027344,115.5,122.75,99.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.328442,1700.0,10.352,3000.0,1.000000478667885,0.18292883065896634,0.005786930395336406,0.0
28,NNL_1001-0310_run-001_DTILR_000,4.0,0.02868566475,5.19359915,4.106708875,27.907023429870605,0.753614766221494,-0.4043619700058697,0.023906707,0.74609375,852060.09375,1.5,1.5,1.5,-106.35595703125,97.4112548828125,-19.61770439147949,110.0,130.0,101.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.394541,1700.0,10.352,3000.0,1.000000478667885,0.0,0.004460440863445426,0.0
29,NNL_1001-0310_run-001_DTIRL_000,4.0,0.025196661500000002,5.2326581999999995,4.151675075,28.103522658348083,0.7844051056546142,-0.40618141634210714,0.02472541875,0.75634765625,860543.15625,1.5,1.5,1.5,-106.35595703125,97.4112548828125,-19.61770439147949,107.0,132.75,102.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.394541,1700.0,10.352,3000.0,1.000000478667885,0.0,0.003627306615098751,0.0
30,NNL_1001-0313_run-001_DTILR_000,4.0,0.032548550499999995,5.5460934250000005,4.37262745,28.490552306175232,0.8351635315557114,-0.466745862061622,0.0279470315,0.7626953125,1036327.5,1.5,1.5,1.5,-105.0,95.703369140625,-85.3855972290039,105.75,126.0,100.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.249706,1700.0,10.352,3000.0,1.000000478667885,0.03805171045159242,0.004111591208059953,0.0
31,NNL_1001-0313_run-001_DTIRL_000,4.0,0.02271520225,4.848321125,3.7759492,31.92571461200714,0.8688315718047801,-0.4044367822119983,0.02218531525,0.76904296875,773905.21875,1.5,1.5,1.5,-105.0,95.703369140625,-85.3855972290039,107.75,131.5,97.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.249706,1700.0,10.352,3000.0,1.000000478667885,0.0,0.00610972863950725,0.0
32,NNL_1001-0314_run-001_DTILR_000,4.0,0.015160564000000001,6.913584875000001,5.896960925,34.33379828929901,0.8668212583514597,-0.33601288604236124,0.01713768775,0.6923479081073025,244300.21875,1.5,1.5,1.5,-105.0,86.5225830078125,-42.490909576416016,109.5,119.0,97.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.315052,1700.0,10.352,3000.0,1.000000478667885,0.5880110633628695,0.009519373957468229,0.0
33,NNL_1001-0314_run-001_DTIRL_000,4.0,0.015450414875,5.586664949999999,4.5782564,31.180347204208374,0.7757433305558323,-0.3376337080234848,0.017363421125,0.71435546875,179078.34375,1.5,1.5,1.5,-105.0,86.5225830078125,-42.490909576416016,107.5,127.5,99.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.315052,1700.0,10.352,3000.0,1.000000478667885,0.46348321013206095,0.005086572560063542,0.0
34,NNL_1001-0316_run-001_DTILR_000,4.0,0.03350308075,4.698962275,3.48482715,26.284276843070984,0.7039902528280971,-0.36703057536874273,0.0301983755,0.78515625,1054700.15625,1.5,1.5,1.5,-105.0,75.4364013671875,-75.74698638916016,108.0,134.5,95.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.31958,1700.0,10.352,3000.0,1.000000478667885,0.4594285210196759,0.005091423456875873,0.0
35,NNL_1001-0316_run-001_DTIRL_000,4.0,0.0349921725,5.06600785,3.8405734750000002,25.264970064163208,0.6958254461479814,-0.34567391136051684,0.0301737215,0.753765785530822,1049988.65625,1.5,1.5,1.5,-105.0,75.4364013671875,-75.74698638916016,107.0,133.75,97.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.31958,1700.0,10.352,3000.0,1.000000478667885,0.514987116654182,0.004355723474609333,0.0
36,NNL_1001-0317_run-001_DTILR_000,4.0,0.030313649999999998,4.932376175,3.8477487000000004,30.243465900421143,0.8156566597704882,-0.4128477488776907,0.02316988025,0.751953125,1075969.40625,1.5,1.5,1.5,-105.0,83.5,-77.25,122.0,138.25,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.204701,1700.0,10.352,3000.0,1.000000478667885,0.07593324224368889,0.007980059494263433,0.0
37,NNL_1001-0317_run-001_DTIRL_000,4.0,0.0183640235,4.5382301,3.458773275,30.596246123313904,0.7876267023121024,-0.36152318347749324,0.01948313825,0.77099609375,308094.46875,1.5,1.5,1.5,-105.0,83.5,-77.25,106.75,125.0,102.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.204701,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0027185421188191607,0.0
38,NNL_1001-0322_run-001_DTILR_000,4.0,0.0403134955,5.56281755,4.408306675,28.94984543323517,0.8376149809024773,-0.4600230794722099,0.031140988,0.76171875,1174416.46875,1.5,1.5,1.5,-107.7119140625,89.6016845703125,-77.92796325683594,109.25,136.0,103.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.245899,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0058388765437532375,0.0
39,NNL_1001-0322_run-001_DTIRL_000,4.0,0.02632166725,5.26472635,4.152495375,31.150696277618408,0.857903306021631,-0.4141038114606217,0.027002177,0.76220703125,890659.96875,1.5,1.5,1.5,-107.7119140625,89.6016845703125,-77.92796325683594,105.0,135.0,100.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.245899,1700.0,10.352,3000.0,1.000000478667885,0.0,0.008315815111069418,0.0
40,NNL_1001-0324_run-001_DTILR_000,4.0,0.029401265,5.112181875,3.978597825,31.760308146476746,0.8387711436014378,-0.3668823225111508,0.0249720655,0.73291015625,1029683.8125,1.5,1.5,1.5,-110.4237060546875,86.99267578125,-29.1171932220459,123.25,138.75,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.393156,1700.0,10.352,3000.0,1.000000478667885,0.06754138518430855,0.0056499174748929765,0.0
